,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,MA5,MA20,MA60,EMA5,EMA20,EMA60
2017-12-06,21.66,22.1,22.06,21.51,52664.77,0.36,1.66,23.022,23.679000000000002,25.459,62062.1,60285.78,98491.69,1.32,22.732000000000035,22.784499999999994,,22.55755542133795,23.014699650431226,23.227644203708547
2017-12-05,22.91,23.26,21.7,21.65,78668.67,-1.22,-5.32,23.468000000000004,23.999000000000002,25.808000000000003,62660.91,61846.25,104051.13,1.97,22.27600000000003,22.729999999999993,,22.271703614166263,22.888978720224497,23.168027646627177
2017-12-04,23.91,24.15,22.92,22.85,85482.8,-1.27,-5.25,24.068,24.357,26.171999999999997,56728.88,61968.83,108773.06,2.14,22.31000000000003,22.754999999999992,,22.487802409473932,22.89194404204916,23.158408336307062
2017-12-01,24.04,24.49,24.18,24.04,43521.0,-0.04,-0.17,24.326,24.574,26.435,51298.9,65987.87,112043.75,1.09,22.62400000000003,22.848499999999994,,23.051868273034398,23.015025911258803,23.19779278636173
2017-11-30,24.37,24.76,24.25,24.05,49973.27,-0.05,-0.21,24.38,24.764,26.634,53226.8,78355.08,123826.01,1.25,23.022000000000034,22.94899999999999,,23.451245515380705,23.132997933171318,23.238125006760217
2017-11-29,24.66,24.8,24.29,23.96,55658.83,-0.4,-1.62,24.336,25.156,26.944000000000003,58509.45,82170.33,136951.4,1.39,23.468000000000035,23.056999999999995,,23.73083034359854,23.243489805809755,23.27822218692632
2017-11-28,24.01,24.9,24.7,24.0,49008.5,0.5,2.07,24.53,25.573,27.421,61031.58,88746.39,145784.73,1.23,24.068000000000033,23.18049999999999,23.299500000000002,24.053886895741147,23.38254803154922,23.33213246439504
2017-11-27,24.4,24.95,24.21,24.01,58332.89,-0.23,-0.94,24.646,26.037,27.908,67208.79,108222.87,161417.35,1.46,24.32600000000003,23.315499999999993,23.300333333333334,24.105924597161707,23.4615292257511,23.365249108179196
2017-11-24,24.1,24.7,24.45,24.09,53160.52,0.43,1.79,24.822,26.441,28.3,80676.85,117984.89,175389.32,1.33,24.38000000000003,23.38849999999999,23.31566666666667,24.22061639810919,23.555859748722003,23.40596917416256
2017-11-23,25.3,25.43,24.03,23.98,76386.5,-1.24,-4.91,25.148000000000003,26.805,28.733,103483.37,125230.68,189422.51,1.91,24.33600000000003,23.429499999999994,23.335833333333333,24.15707759873895,23.601098599809028,23.429283653985962
2017-11-22,25.21,25.9,25.26,24.84,68269.5,-0.03,-0.12,25.976,27.239,29.151999999999997,105831.21,136697.6,210698.95,1.71,24.53000000000003,23.525999999999993,23.3855,24.524718399161273,23.759350753631697,23.49736979473553
2017-11-21,24.6,25.98,25.28,24.56,79894.52,0.17,0.68,26.616,27.616999999999997,29.375999999999998,116461.2,146256.01,223732.84,2.0,24.64600000000003,23.616999999999994,23.4415,24.776478932775085,23.9043913714013,23.563376863045242
2017-11-20,25.55,25.58,25.09,23.46,125673.2,-0.98,-3.76,27.428,27.987,29.514,149236.94,155577.28,235402.64,3.15,24.822000000000024,23.714999999999993,23.501666666666665,24.88098595518364,24.01745944816442,23.619665802322306
2017-11-17,28.0,28.15,26.08,25.91,167193.12,-2.09,-7.42,28.06,28.296,29.749000000000002,155292.94,158099.63,252443.7,4.18,25.14800000000002,23.868999999999993,23.583166666666664,25.280657303456394,24.214132619111837,23.710013065199742
2017-11-16,28.1,28.72,28.17,28.0,88125.71,-0.3,-1.05,28.462,28.503,29.862,146977.99,169296.94,264662.55,2.21,25.97600000000002,24.103999999999992,23.71333333333333,26.24377153563862,24.59129959541315,23.873148775013494
2017-11-15,29.3,29.3,28.46,28.3,121419.46,-0.86,-2.93,28.502,28.730999999999998,29.811,167563.98,191732.48,269280.79,3.04,26.616000000000025,24.33649999999999,23.822999999999997,26.98251435709294,24.96011680733508,24.040291285678535
2017-11-14,28.0,29.89,29.34,27.68,243773.23,1.1,3.9,28.618000000000002,29.268,29.673000000000002,176050.82,202823.06,268677.48,6.1,27.428000000000026,24.60449999999999,23.948666666666664,27.768342904728996,25.377627042303676,24.232707139649854
2017-11-13,28.61,29.23,28.25,28.09,155953.17,0.16,0.57,28.546,29.778000000000002,29.476999999999997,161917.62,214611.83,259871.29,3.9,28.060000000000024,24.87949999999999,24.048,27.92889526981938,25.651410937419918,24.378050875169585
2017-11-10,28.78,28.99,28.09,27.88,125618.36,-0.28,-0.99,28.531999999999996,30.159000000000002,29.324,160906.32,232793.74,257734.07,3.14,28.462000000000025,25.15349999999999,24.12833333333333,27.982596846546265,25.883829996016637,24.51189334141155
2017-11-09,28.88,29.09,28.37,27.76,191055.7,-0.67,-2.31,28.544,30.660999999999998,29.237,191615.9,253614.34,254168.58,4.78,28.50200000000002,25.458999999999993,24.224166666666665,28.111731231030863,26.120767179690464,24.650552380326975
2017-11-08,28.8,29.7,29.04,28.11,163853.66,0.06,0.21,28.96,31.065,29.131999999999998,215900.97,284700.31,248910.25,4.1,28.618000000000016,25.807999999999993,24.334499999999995,28.421154154020606,26.39895835122396,24.80781182885292
2017-11-07,28.6,29.37,28.98,28.42,173107.2,0.8,2.84,29.918000000000003,31.134,28.995,229595.3,301209.67,247155.94,4.33,28.546000000000014,26.17199999999999,24.422166666666662,28.607436102680413,26.64490702314181,24.9568345845957
2017-11-06,28.67,28.74,28.18,27.76,150896.66,0.03,0.11,31.01,31.041,28.901999999999997,267306.04,315227.99,242961.71,3.78,28.532000000000018,26.43499999999999,24.494666666666664,28.46495740178694,26.791179093498098,25.071623548580675
